,Date,Stars,BankName,Clean_Review,sentiment,sentiment_cat
0,2017-04-10,5,Wyndham Capital Mortgage,refinance process thank wyndham professional move helped job capital smoothly person,0.25,Positive
1,2017-02-10,5,Wyndham Capital Mortgage,product service correct thank matthew excellent professional mortgage helped helpful richardson,0.55,Positive
2,2017-08-21,5,Wyndham Capital Mortgage,thanks money mile viable extra past loan dealing highly brad pulled question found option sincerest beyond mortgage experience saved encountered previous recommend team lind wyndham wrong thomka capital ed servicer ultimately,-0.07952380952380952,Negative
3,2017-12-17,5,Wyndham Capital Mortgage,thanks money mile viable servicer beginning loan stressful dealing highly brad happy lindread pulled entire option sincerest beyond mortgage started indebted saved encountered time ultimately team previous recommend wyndham thomka wrong help capital ed extra found,0.06166666666666669,Neutral
4,2016-05-27,5,Wyndham Capital Mortgage,educate thorough professional process highly express responsiveness family provided grateful support purchase zach cant demeanor time recommend am service customer wyndham home none capital,0.13,Positive
5,2016-12-20,5,Wyndham Capital Mortgage,buying conversation professional impressed loan process stressful family columbus entire purchase september original responsive communication underwriting oh team pleasure wyndham timely home officer capital closing smooth,0.375,Positive
6,2017-12-17,5,Wyndham Capital Mortgage,truly greatly top clients overall bends cares wonderful mattison beyond experience stays person misunderstanding professionally,0.4,Positive
7,2016-08-16,5,Wyndham Capital Mortgage,questions loan closed extremely portal patrick refinance intend weeks pleased time lot service immediately spent email situation answered customer using easy,0.12166666666666667,Positive
8,2017-09-04,5,Wyndham Capital Mortgage,told knowledgeable people badmouthed laughed questions class loan company shopping lender lost moved quickly staff loved business phone negative wyndham answered sell,0.3583333333333333,Positive
9,2016-03-22,5,Wyndham Capital Mortgage,document questions loan application quick communicate web willingness option via emailas werent download interface phone calls exclusively concerns upload features responses,0.3333333333333333,Positive
10,2017-04-02,5,Wyndham Capital Mortgage,recommend refinance process homeowner michelle wyndham feel friends family definitely smooth time successful,0.575,Positive
11,2016-02-06,5,Wyndham Capital Mortgage,transact yes happier thanks thats confidence lifeless brought usten connection largest deal couldnt transaction difference family picking austen move house faceless possibly looking humanity kids riding purchase dream guidance scary huge positivity simply wife didnt lot stiff presence butlers help butler block home true institution step starting found,0.029464285714285724,Neutral
12,2016-06-11,5,Wyndham Capital Mortgage,loan lot questions jay process service couldve hold theres provided everythings huge easy,0.41666666666666674,Positive
13,2017-03-04,5,Wyndham Capital Mortgage,recommend appreciate thanks wyndham taylor friends mean especially clock heart help capital million mark,-0.0375,Negative
14,2016-11-06,5,Wyndham Capital Mortgage,underwriter stepped plan property consummate doing chase professional chaz lending fault issues falling future assisted deal rectify highly kept challenges fantastic glue entire quickly transitioning positive original responsive staying recommend share business opportunities minute spirits throughout proces touch,0.28284511784511784,Positive
15,2016-07-03,5,Wyndham Capital Mortgage,business companies purchase customer bs home step austen thoroughly refi awsome explains repeat options,0.0,Neutral
16,2016-10-07,5,Wyndham Capital Mortgage,told im hangs heloc bank cash specifically quoted salesperson kept rate ridiculous td refi looking pushing,-0.3333333333333333,Negative
17,2017-02-24,1,Wyndham Capital Mortgage,continue people request wyndum copies process times correctly appraiser lost worst mistakes complete experience day documents underwriting required hired gone send filed list corrections awful,-0.6333333333333333,Negative
18,2016-03-14,1,Wyndham Capital Mortgage,knowledgeable caused sense related urgency professional frustrating process texas log law happened constant delays additional changed mistake weeks underwriting team recommend decisions courteous week rookie rate overwhelmed closing wait,0.059999999999999984,Neutral
19,2017-08-13,1,Wyndham Capital Mortgage,faith initially careful convinced plus beginning running words loan dealing charge lender sign credit mistake im option estimate lower please trusted officer zero learn looks rate favorable lenders closing upfront,-0.1,Negative
20,2016-06-26,1,Wyndham Capital Mortgage,initially friendly increasingly card payoff loan broker process initiate move paper credit copy call eminent weeks filled mortgage documents difficult assertive phone calls reach closing forward,0.09166666666666667,Neutral
21,2016-06-26,1,Wyndham Capital Mortgage,initially friendly increasingly card payoff loan broker process initiate move paper credit copy call eminent weeks filled mortgage documents difficult assertive phone calls reach closing forward,0.09166666666666667,Neutral
22,2016-01-15,5,North American Savings Bank,knowledgeable nasb excellent future loan process highly kory provided complicated entire refinance superb carla responsive experience mortgage time team recommend service throughout hung ours,0.27666666666666667,Positive
23,2017-10-11,5,North American Savings Bank,knowledgeable thanks professional calm loan process dealing responsiveness kory extremely complicated entire refinance integrity purchase else cool level moving throughout officer properties none forward,0.07500000000000001,Neutral
24,2016-10-14,5,North American Savings Bank,deals tried top buyingselling homes market close changes component nasb opportunity impacts patiently rally income swapping questions families loan broker buy closed added mattered origination financial complicated expert estate advocated professionally answers expanded military support va aaron due detailed antebellum change versed time team business five ability handled list pressure week pass home rate fees look real officer retirement,0.04166666666666667,Neutral
25,2016-01-08,5,North American Savings Bank,changes nasb loansespecially stops challenging closed loan truly pull rules process complicate family entire despite military va beyond antebellum required time team recommend believe tough home guide regulations retirement loans,-0.01777777777777777,Negative
26,2016-10-22,5,North American Savings Bank,thank getting competitor professional thousands closed loan special class act lender job entire goodlet originally current days team pleasure deserving institution saving real dallas called,0.16530612244897958,Positive
27,2017-09-12,5,North American Savings Bank,nasb slightly professional lending comments delivered begin competitive loan satisfied matched process leader cost bids application signing origination assuring completely completion online lender kudos tree sales applied staff beat believability custer goodlet mortgage appreciative supportive wife time convincing brent price team product service truthful promised timely home none dallas closing chose company,0.39999999999999997,Positive
28,2017-05-24,5,North American Savings Bank,buying thanks ready decide questions buyers offered start buy process house amazing answers stringent call purchase jon experience calling potential recommend phone home definitely help easy,0.2388888888888889,Positive
29,2017-05-02,5,North American Savings Bank,closed process days thanks purchase nasb agreement home informational experience date easy amazing chose preapproval,0.2833333333333333,Positive
30,2016-07-18,5,North American Savings Bank,loan jons knowledgeable process patient accurate name barrett extremely jon mortgage asset quick simple passing looking helpful husband,0.15208333333333335,Positive
31,2017-02-10,5,North American Savings Bank,instantly homes bryant nasb makes express family met refinanced mistake options military discuss incredibly ive awesome experience cant time authenticity purchased easy,0.44666666666666666,Positive
32,2016-05-05,5,North American Savings Bank,loan exceeded hard highly rate jeff recommended expectations hoped officer,-0.06583333333333334,Negative
33,2016-07-18,5,North American Savings Bank,detail knowledgeable adam professional hesitate helpful questions loan start process highly manner transaction refi weve talking agai confident unsure recommend gone attention timely answered home thru help easy smooth,0.31866666666666665,Positive
34,2017-04-10,5,North American Savings Bank,quickly answers tedious knowledgeable process easy responsive mortgage questions website,0.08888888888888889,Neutral
35,2017-05-09,5,North American Savings Bank,madewell knowledgeable easy nasb request lending process received surprises seamless tree entire offers looking offer mortgage multiple recommend banks home definitely closing alex,0.10555555555555556,Positive
36,2016-01-30,5,North American Savings Bank,loan rob closed didnt able getting issues helpful time,0.2,Positive
